County_Code,academic_wght_avg_score_Economic_disadv,County
001,326.202292208,Alameda
003,,Alpine
005,202.842149454,Amador
007,329.966129387,Butte
009,335.22460717,Calaveras
011,329.654778465,Colusa
013,323.704043796,Contra Costa
015,325.515689559,Del Norte
017,309.042578793,El Dorado
019,317.603767818,Fresno
021,309.448069143,Glenn
023,324.002047066,Humboldt
025,323.67714223,Imperial
027,302.112010444,Inyo
029,324.015926868,Kern
031,314.764145994,Kings
033,303.698391813,Lake
035,322.999620382,Lassen
037,328.051758475,Los Angeles
039,314.27801965,Madera
041,314.355831951,Marin
043,271.836,Mariposa
045,314.343337618,Mendocino
047,319.691055199,Merced
049,305.76001454,Modoc
051,246.294610778,Mono
053,313.469404264,Monterey
055,327.303699754,Napa
057,300.383989501,Nevada
059,335.664576498,Orange
,335.664576498,
061,338.318604607,Placer
063,353.270790729,Plumas
065,324.079173858,Riverside
067,330.397594474,Sacramento
069,309.230716902,San Benito
071,320.882555716,San Bernardino
073,332.329936776,San Diego
075,342.071263279,San Francisco
077,320.096638808,San Joaquin
079,324.891604003,San Luis Obispo
081,324.240314148,San Mateo
083,316.756363752,Santa Barbara
085,322.024469216,Santa Clara
087,322.270986201,Santa Cruz
089,338.845562584,Shasta
091,332.464,Sierra
093,317.290500715,Siskiyou
095,270.667027119,Solano
097,305.309402156,Sonoma
099,320.715539931,Stanislaus
101,317.273335243,Sutter
103,327.773431174,Tehama
105,304.268549906,Trinity
107,326.970820106,Tulare
109,299.869428295,Tuolumne
111,319.719885854,Ventura
113,321.984524751,Yolo
115,319.170213481,Yuba
